,strat_id,init_cash,buy_prop,sell_prop,rsi.fractional,rsi.commission,rsi.stop_loss,rsi.stop_trail,rsi.take_profit,execution_type,rsi.channel,rsi.symbol,rsi.allow_short,rsi.short_max,rsi.add_cash_amount,rsi.add_cash_freq,rsi.invest_div,rsi.rsi_period,rsi.rsi_upper,rsi.rsi_lower,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
0,25,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,80,25,0.974699724525458,0.00023515071761772205,0.0610489357299757,6.10489357299757,58,6.679506541775215,189702.94140625,"AutoOrderedDict([('len', 1099), ('drawdown', 57.50007417316249), ('moneydown', 777560.841796875)])",57.50007417316249,1099,0.36820396805756345,1650371.25,2650371.25,7,0.8571428571428571,6.0,0.0,278876.4602864583,27.88764602864583,0.0,0.0,604582.751953125,60.4582751953125,0.0,0.0
1,26,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,20,80,25,0.9693510709151867,0.00023386033073949014,0.060703962588561554,6.070396258856156,195,0.11573434967682547,3054.5625,"AutoOrderedDict([('len', 247), ('drawdown', 25.305389776506722), ('moneydown', 647705.4375)])",25.305389776506722,247,0.5011099148398238,1636233.18,2636233.17578125,3,1.0,3.0,0.0,545411.05859375,54.54110585937501,0.0,0.0,784377.11328125,78.437711328125,0.0,0.0
2,16,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,80,20,0.9090782279377119,0.0002193192347256241,0.0568242780658799,5.68242780658799,0,0.0,0.0,"AutoOrderedDict([('len', 388), ('drawdown', 25.104880588410545), ('moneydown', 610903.9921875)])",25.104880588410545,388,0.496119435723436,1482033.61,2482033.609375,4,1.0,4.0,0.0,370508.40234375,37.050840234375,0.0,0.0,675849.021484375,67.5849021484375,0.0,0.0
3,19,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,40,25,0.7931070142416848,0.0001913406548230844,0.04939923681882063,4.939923681882063,67,0.4558689294282718,10122.0,"AutoOrderedDict([('len', 1489), ('drawdown', 13.878101943385586), ('moneydown', 306388.177734375)])",13.878101943385586,1489,0.2959875939637561,1210253.06,2210253.056640625,19,0.8421052631578947,16.0,3.0,88856.15270996094,8.885615270996093,-70481.79557291667,-7.048179557291667,360245.26953125,36.024526953125005,-114717.1875,-11.471718749999999
4,0,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,6,40,15,0.7318425886222356,0.0001765603350113958,0.04549787192488892,4.549787192488892,67,1.3450358852926345,28343.28125,"AutoOrderedDict([('len', 850), ('drawdown', 13.573952033507378), ('moneydown', 206746.40625)])",13.573952033507378,850,0.32442404645668643,1078907.65,2078907.65234375,33,0.7575757575757576,25.0,8.0,59487.26265625,5.948726265625,-51034.2392578125,-5.10342392578125,339575.458984375,33.9575458984375,-131055.9765625,-13.105597656250001
5,9,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,6,40,20,0.4851506865138269,0.00011704479771141784,0.02993458346261428,2.993458346261428,2335,5.562551365404725,95681.517578125,"AutoOrderedDict([('len', 2335), ('drawdown', 22.563680483938526), ('moneydown', 388118.158203125)])",22.563680483938526,2335,0.22885203269832238,624419.77,1624419.7685546875,53,0.6415094339622641,34.0,19.0,44194.089470358456,4.419408947035846,-46219.96175986842,-4.621996175986842,310047.158203125,31.0047158203125,-163240.751953125,-16.324075195312503
6,13,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,60,20,0.4659785190840402,0.00011241942559325458,0.0287347974920977,2.87347974920977,0,0.0,0.0,"AutoOrderedDict([('len', 1588), ('drawdown', 20.945358578805433), ('moneydown', 234093.26953125)])",20.945358578805433,1588,0.4240892710618989,593572.77,1593572.767578125,6,1.0,6.0,0.0,98928.79459635417,9.892879459635417,0.0,0.0,196328.875,19.632887500000002,0.0,0.0
7,23,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,20,60,25,0.37833275285178347,9.127448802214317e-05,0.02326773777418835,2.326773777418835,331,1.3752152625128422,20356.0,"AutoOrderedDict([('len', 991), ('drawdown', 20.779225644932044), ('moneydown', 256115.046875)])",20.779225644932044,991,0.2605211552441445,459848.63,1459848.630859375,5,1.0,5.0,0.0,91969.72617187501,9.1969726171875,0.0,0.0,206295.03125,20.629503125,0.0,0.0
8,6,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,6,80,15,0.3777228403914705,9.112734388214006e-05,0.02322979537913137,2.322979537913137,76,11.079257749365885,181781.85546875,"AutoOrderedDict([('len', 1591), ('drawdown', 51.893511675145234), ('moneydown', 666529.1015625)])",51.893511675145234,1591,0.16730389293479092,458958.52,1458958.5224609375,19,0.7368421052631579,14.0,4.0,77084.57903180804,7.708457903180804,-121958.39013671881,-12.19583901367188,179424.609375,17.942460937499998,-205536.02929687506,-20.553602929687507
9,22,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,60,25,0.26096752475701107,6.295959584005093e-05,0.015992348528140802,1.5992348528140803,58,2.3681671004454152,31488.912109375,"AutoOrderedDict([('len', 3199), ('drawdown', 52.075937921961284), ('moneydown', 658826.28125)])",52.075937921961284,3199,0.12283463677847763,298185.51,1298185.505859375,14,0.7857142857142857,11.0,3.0,56744.01526988636,5.674401526988635,-108666.220703125,-10.8666220703125,120040.75390625,12.004075390625001,-303777.291015625,-30.3777291015625
10,18,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,6,40,25,0.252505777045324,6.091816092770181e-05,0.015469814219114154,1.5469814219114153,2074,20.651278320864446,335018.5625,"AutoOrderedDict([('len', 2074), ('drawdown', 29.44220341669459), ('moneydown', 477630.70703125)])",29.44220341669459,2074,0.10361837189709236,287246.93,1287246.9326171875,88,0.6363636363636364,56.0,32.0,29050.359706333704,2.9050359706333704,-41861.662841796875,-4.186166284179688,122876.3935546875,12.28763935546875,-167402.32421875003,-16.740232421875003
11,10,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,40,20,0.24177514701947941,5.832934789372242e-05,0.014807557168875277,1.4807557168875278,398,0.7359508325419035,9441.87890625,"AutoOrderedDict([('len', 967), ('drawdown', 5.643620811412918), ('moneydown', 65261.015625)])",5.643620811412918,967,0.2036432058431034,273507.81,1273507.80859375,6,1.0,6.0,0.0,45584.634765625,4.5584634765625,0.0,0.0,88733.28515625,8.873328515625,0.0,0.0
12,15,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,6,80,20,0.18844491750553738,4.546318878300057e-05,0.011522603178594831,1.152260317859483,899,17.79400493892581,261342.958984375,"AutoOrderedDict([('len', 2376), ('drawdown', 52.31927200616618), ('moneydown', 750907.6171875)])",52.31927200616618,2376,0.08196411969697597,207370.58,1207370.576171875,26,0.6923076923076923,18.0,7.0,67735.32486979167,6.773532486979167,-128899.92271205357,-12.889992271205356,228188.8125,22.81888125,-337299.375,-33.7299375
13,20,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,20,40,25,0.18171637207901659,4.383989676212704e-05,0.01110890466429484,1.110890466429484,398,0.7380726769462799,8917.330078125,"AutoOrderedDict([('len', 967), ('drawdown', 5.722969934692881), ('moneydown', 64005.99609375)])",5.722969934692881,967,0.05015201709214922,199274.0,1199273.998046875,5,1.0,5.0,0.0,39854.799609375,3.9854799609375,0.0,0.0,54086.49609375,5.408649609375,0.0,0.0
14,24,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,6,80,25,0.16303060867507607,3.9331871815458645e-05,0.009960914609061462,0.9960914609061462,3420,27.01990667117758,435795.482421875,"AutoOrderedDict([('len', 3420), ('drawdown', 60.321989933310036), ('moneydown', 972914.1933593751)])",60.321989933310036,3420,0.09865741841201771,177072.72,1177072.7177734375,34,0.7058823529411765,24.0,9.0,66561.45088704427,6.6561450887044264,-141907.05034722225,-14.190705034722226,253543.125,25.3543125,-384944.9003906251,-38.49449003906251
15,21,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,6,60,25,0.11892982662490766,2.8692358654983753e-05,0.007256677376234512,0.7256677376234512,3303,19.645806529819453,275366.994140625,"AutoOrderedDict([('len', 3303), ('drawdown', 52.780672854756816), ('moneydown', 739804.45703125)])",52.780672854756816,3303,0.05427887716480863,126290.88,1126290.8798828125,68,0.6911764705882353,47.0,21.0,33717.36047623005,3.371736047623005,-69448.8125,-6.94488125,121612.744140625,12.1612744140625,-444335.22656249994,-44.43352265625
16,3,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,6,60,15,0.04126992199826211,9.956555367493875e-06,0.0025122022576675993,0.25122022576675995,3245,13.544077599511064,163259.3203125,"AutoOrderedDict([('len', 3245), ('drawdown', 48.54329519028861), ('moneydown', 585137.328125)])",48.54329519028861,3245,-0.03596152113403638,42133.36,1042133.3623046875,28,0.75,21.0,7.0,29102.2275390625,2.91022275390625,-81287.630859375,-8.1287630859375,66150.478515625,6.6150478515625,-374882.4296875,-37.48824296875
17,14,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,20,60,20,0.0,0.0,0.0,0.0,0,0.0,0.0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0.0,0,,0.0,1000000.0,0,,,,,,,,,,,
18,11,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,20,40,20,0.0,0.0,0.0,0.0,0,0.0,0.0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0.0,0,,0.0,1000000.0,0,,,,,,,,,,,
19,8,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,20,80,15,0.0,0.0,0.0,0.0,0,0.0,0.0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0.0,0,,0.0,1000000.0,0,,,,,,,,,,,
20,7,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,80,15,0.0,0.0,0.0,0.0,0,0.0,0.0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0.0,0,,0.0,1000000.0,0,,,,,,,,,,,
21,17,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,20,80,20,0.0,0.0,0.0,0.0,0,0.0,0.0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0.0,0,,0.0,1000000.0,0,,,,,,,,,,,
22,5,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,20,60,15,0.0,0.0,0.0,0.0,0,0.0,0.0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0.0,0,,0.0,1000000.0,0,,,,,,,,,,,
23,4,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,60,15,0.0,0.0,0.0,0.0,0,0.0,0.0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0.0,0,,0.0,1000000.0,0,,,,,,,,,,,
24,2,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,20,40,15,0.0,0.0,0.0,0.0,0,0.0,0.0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0.0,0,,0.0,1000000.0,0,,,,,,,,,,,
25,1,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,40,15,0.0,0.0,0.0,0.0,0,0.0,0.0,"AutoOrderedDict([('len', 0.0), ('drawdown', 0.0), ('moneydown', 0.0)])",0.0,0,,0.0,1000000.0,0,,,,,,,,,,,
26,12,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,6,60,20,-0.1555275678951762,-3.752172928713539e-05,-0.00941091333289028,-0.9410913332890279,3392,27.136931085838015,318792.802734375,"AutoOrderedDict([('len', 3392), ('drawdown', 49.19120969300985), ('moneydown', 577876.826171875)])",49.19120969300985,3392,-0.10114511604247835,-144036.52,855963.4794921875,42,0.6428571428571429,27.0,15.0,29913.944769965277,2.9913944769965277,-63447.53528645833,-6.344753528645833,112616.9619140625,11.26169619140625,-375679.18359375,-37.567918359375
